sale_date,product,quantity,unit_price,discount_pct
2026-01-04,Analytics Pro,2,799,10
2026-01-09,Workflow Hub,5,249,0
2026-01-18,Inventory Cloud,3,420,5
2026-01-27,Analytics Pro,1,799,0
2026-02-03,Workflow Hub,7,249,8
2026-02-12,Inventory Cloud,4,420,0
2026-02-20,Support AI,8,159,0
2026-02-25,Analytics Pro,3,799,12
2026-03-02,Support AI,10,159,5
2026-03-11,Analytics Pro,4,799,10
2026-03-16,Workflow Hub,6,249,0
2026-03-28,Inventory Cloud,5,420,6
2026-04-05,Inventory Cloud,7,420,5
2026-04-10,Support AI,12,159,0
2026-04-17,Workflow Hub,9,249,10
2026-04-23,Analytics Pro,5,799,8
2026-05-03,Support AI,15,159,5
2026-05-08,Analytics Pro,6,799,10
2026-05-14,Workflow Hub,11,249,0
2026-05-22,Inventory Cloud,8,420,7
